user_id,user_buy_count,user_cart_count,user_fav_count,user_pv_count,user_total_interaction_count,user_fav_rate,user_cart_rate,user_buy_rate,user_active_days,user_active_hours,user_interacted_item_count,user_interacted_category_count
4913,6,29,49,1658,1742,0.029553679131483716,0.017490952955367914,0.0036188178528347406,29,18,664,121
6118,1,0,4,112,117,0.03571428571428571,0.0,0.008928571428571428,12,9,52,19
7528,6,24,1,183,214,0.00546448087431694,0.13114754098360656,0.03278688524590164,15,11,73,12
7591,21,14,0,824,859,0.0,0.01699029126213592,0.025485436893203883,25,17,185,62
12645,8,10,2,248,268,0.008064516129032258,0.04032258064516129,0.03225806451612903,20,17,82,40
45368,0,0,0,36,36,0.0,0.0,0.0,4,5,17,9
54056,2,0,2,34,38,0.058823529411764705,0.0,0.058823529411764705,2,3,11,3
63348,1,13,14,223,251,0.06278026905829596,0.05829596412556054,0.004484304932735426,14,12,115,31
79824,13,0,0,650,663,0.0,0.0,0.02,25,13,239,69
88930,23,22,30,1529,1604,0.01962066710268149,0.014388489208633094,0.015042511445389144,24,18,453,109
90472,0,4,9,135,148,0.06666666666666667,0.02962962962962963,0.0,10,13,58,37
100539,18,60,1,1003,1082,0.0009970089730807576,0.05982053838484546,0.01794616151545364,28,18,359,101
104155,4,4,14,374,396,0.0374331550802139,0.0106951871657754,0.0106951871657754,17,16,194,54
109103,17,18,32,365,432,0.08767123287671233,0.049315068493150684,0.04657534246575343,11,10,126,32
113251,5,14,1,359,379,0.002785515320334262,0.03899721448467967,0.013927576601671309,16,20,143,65
113960,36,112,3,1858,2009,0.0016146393972012918,0.060279870828848225,0.0193756727664155,30,21,723,143
114088,0,0,0,25,25,0.0,0.0,0.0,4,6,17,12
120873,3,22,99,1472,1596,0.06725543478260869,0.014945652173913044,0.0020380434782608695,23,15,810,66
134658,2,4,0,252,258,0.0,0.015873015873015872,0.007936507936507936,14,17,130,42
151617,29,50,35,1855,1969,0.018867924528301886,0.026954177897574125,0.015633423180592992,30,17,665,108
156608,9,19,46,490,564,0.09387755102040816,0.03877551020408163,0.018367346938775512,16,18,214,51
157097,15,15,0,1472,1502,0.0,0.010190217391304348,0.010190217391304348,28,18,719,169
189833,26,83,263,3348,3720,0.07855436081242533,0.024790919952210274,0.007765830346475508,29,20,1137,299
