column_name,missing_count,missing_rate
user_id,0,0.0
item_id,0,0.0
user_item_buy_count,0,0.0
user_item_cart_count,0,0.0
user_item_fav_count,0,0.0
user_item_pv_count,0,0.0
item_category,0,0.0
last_behavior_hour,0,0.0
user_item_total_interaction_count,0,0.0
user_item_fav_rate,0,0.0
user_item_cart_rate,0,0.0
user_item_buy_rate,0,0.0
is_peak_hour,0,0.0
is_buy,0,0.0
user_buy_count,0,0.0
user_cart_count,0,0.0
user_fav_count,0,0.0
user_pv_count,0,0.0
user_total_interaction_count,0,0.0
user_fav_rate,0,0.0
user_cart_rate,0,0.0
user_buy_rate,0,0.0
user_active_days,0,0.0
user_active_hours,0,0.0
user_interacted_item_count,0,0.0
user_interacted_category_count,0,0.0
item_buy_count,0,0.0
item_cart_count,0,0.0
item_fav_count,0,0.0
item_pv_count,0,0.0
item_user_count,0,0.0
item_total_interaction_count,0,0.0
item_fav_rate,0,0.0
item_cart_rate,0,0.0
item_buy_rate,0,0.0
category_buy_count,0,0.0
category_cart_count,0,0.0
category_fav_count,0,0.0
category_pv_count,0,0.0
category_user_count,0,0.0
category_item_count,0,0.0
category_total_interaction_count,0,0.0
category_fav_rate,0,0.0
category_cart_rate,0,0.0
category_buy_rate,0,0.0
user_category_buy_count,0,0.0
user_category_cart_count,0,0.0
user_category_fav_count,0,0.0
user_category_pv_count,0,0.0
user_category_total_interaction_count,0,0.0
user_category_fav_rate,0,0.0
user_category_cart_rate,0,0.0
user_category_buy_rate,0,0.0
user_category_item_count,0,0.0
recent_1d_user_item_pv_count,0,0.0
recent_3d_user_item_pv_count,0,0.0
recent_7d_user_item_pv_count,0,0.0
recent_3d_user_item_cart_count,0,0.0
recent_7d_user_category_pv_count,0,0.0
recent_7d_user_category_cart_count,0,0.0
recent_7d_user_active_days,0,0.0
